id,name_en,name_th,arcana,suit,number,art,keywords,upright,reversed
maj00,The Fool,คนโง่,Major,-,0,🃏,เริ่มต้น|อิสระ|ความไร้เดียงสา,การเริ่มต้นใหม่ ความกล้าที่จะก้าวเดินด้วยใจเปิดกว้าง โดยไม่กลัวสิ่งที่ยังมาไม่ถึง,ความประมาท ลังเล หรือความกลัวการเปลี่ยนแปลงจนไม่กล้าเริ่มต้น
sw12,Knight of Swords,อัศวินดาบ,Minor,Swords,12,🏇,ความมุ่งมั่น|ความเด็ดขาด|ความรีบร้อน,การพุ่งไปข้างหน้าด้วยความคิดที่ชัดเจนและมุ่งมั่น กล้าลงมือทันที,ความหุนหัน การกระทำที่ขาดการไตร่ตรอง หรือคำพูดที่รุนแรงเกินไป
sw13,Queen of Swords,ราชินีดาบ,Minor,Swords,13,🦉,ความชัดเจน|ความเป็นอิสระ|ความจริงใจ,ปัญญาที่คมชัดผสานกับความจริงใจ มองสิ่งต่าง ๆ ตามความเป็นจริง,ความเย็นชา การตัดสินที่รุนแรง หรือการปิดกั้นความรู้สึก
sw14,King of Swords,ราชาดาบ,Minor,Swords,14,⚜️,เหตุผล|ความยุติธรรม|ภาวะผู้นำทางความคิด,การนำด้วยเหตุผล ความเที่ยงตรง และการตัดสินใจที่เป็นกลาง,การใช้เหตุผลแบบแข็งกระด้าง หรืออำนาจที่ขาดความเห็นอกเห็นใจ
pe01,Ace of Pentacles,เอซเหรียญ,Minor,Pentacles,1,🪙,โอกาส|ความมั่นคง|การเริ่มต้นทางวัตถุ,โอกาสใหม่ด้านการงานหรือการเงินที่มั่นคงและเป็นรูปธรรม,โอกาสที่พลาดไป การวางแผนการเงินที่ยังไม่รอบคอบ หรือความไม่มั่นคงชั่วคราว
pe02,Two of Pentacles,สองเหรียญ,Minor,Pentacles,2,🤹,การจัดการ|ความสมดุล|ความยืดหยุ่น,การรักษาสมดุลระหว่างหลายสิ่ง จงยืดหยุ่นและจัดลำดับความสำคัญ,ความวุ่นวายจากการรับภาระมากเกินไป หรือการจัดการที่เสียสมดุล
pe03,Three of Pentacles,สามเหรียญ,Minor,Pentacles,3,🧱,การร่วมมือ|ทักษะ|การสร้าง,ความสำเร็จที่เกิดจากการทำงานร่วมกันและการใช้ทักษะอย่างตั้งใจ,การขาดความร่วมมือ ความเห็นไม่ตรงกัน หรือทักษะที่ยังต้องพัฒนา
pe04,Four of Pentacles,สี่เหรียญ,Minor,Pentacles,4,🔒,ความมั่นคง|การยึดถือ|การควบคุม,ความต้องการความมั่นคง แต่ระวังการยึดติดจนกลัวการเปลี่ยนแปลง,การเริ่มปล่อยวางการควบคุม หรือการเปิดใจให้กับการให้และการรับ
pe05,Five of Pentacles,ห้าเหรียญ,Minor,Pentacles,5,❄️,ความขาดแคลน|ความยากลำบาก|ความหวัง,ช่วงเวลายากลำบากด้านวัตถุหรือจิตใจ แต่ความช่วยเหลืออยู่ใกล้กว่าที่คิด,การฟื้นตัวจากความยากลำบาก หรือการพบทางออกและกำลังใจ
pe06,Six of Pentacles,หกเหรียญ,Minor,Pentacles,6,🤝,การให้และรับ|ความเอื้อเฟื้อ|ความสมดุล,การแบ่งปันอย่างสมดุล ทั้งการให้และการเปิดใจรับความช่วยเหลือ,ความไม่สมดุลในการให้และรับ หรือการพึ่งพิงที่ไม่เท่าเทียม
pe07,Seven of Pentacles,เจ็ดเหรียญ,Minor,Pentacles,7,🌱,ความอดทน|การรอผล|การประเมิน,การรอคอยผลของสิ่งที่ลงแรงไป จงอดทนและประเมินว่าคุ้มค่าจะไปต่อหรือไม่,ความใจร้อนที่จะเห็นผล หรือความรู้สึกว่าลงทุนไปแล้วยังไม่คุ้ม
pe08,Eight of Pentacles,แปดเหรียญ,Minor,Pentacles,8,🛠️,ความขยัน|ทักษะ|ความตั้งใจ,ความมุ่งมั่นฝึกฝนและใส่ใจในรายละเอียด ที่ค่อย ๆ ผลิดอกออกผล,ความเบื่อหน่าย การทำงานแบบขอไปที หรือการขาดใจรักในสิ่งที่ทำ
pe09,Nine of Pentacles,เก้าเหรียญ,Minor,Pentacles,9,🍇,ความมั่งคั่ง|การพึ่งพาตนเอง|ความสุขส่วนตัว,ความสำเร็จและความสุขที่มาจากการพึ่งพาตนเอง ได้เก็บเกี่ยวสิ่งที่ลงแรงไว้,การพึ่งพิงผู้อื่นมากเกินไป หรือความรู้สึกไม่มั่นคงแม้มีพร้อม
pe10,Ten of Pentacles,สิบเหรียญ,Minor,Pentacles,10,🏰,ความมั่นคงยั่งยืน|ครอบครัว|มรดก,ความมั่นคงระยะยาวและความอบอุ่นของครอบครัว รากฐานที่แข็งแรงส่งต่อได้,ความไม่มั่นคงในระยะยาว หรือความขัดแย้งเรื่องครอบครัวหรือทรัพย์สิน
pe11,Page of Pentacles,บริวารเหรียญ,Minor,Pentacles,11,📗,การเรียนรู้|โอกาสใหม่|ความตั้งใจ,ความกระตือรือร้นที่จะเรียนรู้ทักษะใหม่ หรือการเริ่มต้นเป้าหมายที่จับต้องได้,การผัดวันประกันพรุ่ง หรือความคิดที่ยังไม่ลงมือทำจริง
pe12,Knight of Pentacles,อัศวินเหรียญ,Minor,Pentacles,12,🐢,ความรับผิดชอบ|ความมานะ|ความสม่ำเสมอ,ความมานะที่มั่นคงและสม่ำเสมอ ทำสิ่งต่าง ๆ อย่างรอบคอบทีละก้าว,ความเชื่องช้าจนหยุดนิ่ง หรือการยึดติดกับกิจวัตรจนขาดความยืดหยุ่น
pe13,Queen of Pentacles,ราชินีเหรียญ,Minor,Pentacles,13,🌾,การดูแล|ความมั่นคง|ความอบอุ่นในทางปฏิบัติ,การดูแลทั้งคนรอบข้างและความมั่นคงของตนได้อย่างสมดุลและอบอุ่น,การทุ่มเทให้ผู้อื่นจนละเลยตัวเอง หรือความกังวลเรื่องความมั่นคง
pe14,King of Pentacles,ราชาเหรียญ,Minor,Pentacles,14,💰,ความมั่งคั่ง|ความมั่นคง|ภาวะผู้นำที่มั่นคง,ความสำเร็จที่มั่นคงจากความมานะและการบริหารอย่างมีวินัย ผู้นำที่น่าเชื่อถือ,การยึดติดกับวัตถุ ความดื้อรั้น หรือการให้ค่ากับความมั่นคงจนขาดความยืดหยุ่น
